2024-12-10 16:11:47,015 - INFO - Check if cuda is available: True
2024-12-10 16:11:59,331 - INFO - Dataset loaded
2024-12-10 16:11:59,912 - INFO - Tokenization completed
2024-12-10 16:12:02,074 - INFO - Training started
2024-12-10 16:12:45,322 - INFO - Epoch 1, Total Loss: 2021.6730
2024-12-10 16:12:45,477 - INFO - Epoch 1, Total Loss: 2028.1840
2024-12-10 16:12:45,625 - INFO - Epoch 1, Total Loss: 2034.6100
2024-12-10 16:12:45,773 - INFO - Epoch 1, Total Loss: 2041.0294
2024-12-10 16:12:45,922 - INFO - Epoch 1, Total Loss: 2047.5172
2024-12-10 16:12:46,076 - INFO - Epoch 1, Total Loss: 2053.9653
2024-12-10 16:12:46,230 - INFO - Epoch 1, Total Loss: 2060.4727
2024-12-10 16:12:46,374 - INFO - Epoch 1, Total Loss: 2066.9289
2024-12-10 16:12:46,530 - INFO - Epoch 1, Total Loss: 2073.3873
2024-12-10 16:12:46,676 - INFO - Epoch 1, Total Loss: 2079.8668
2024-12-10 16:12:46,829 - INFO - Epoch 1, Total Loss: 2086.3797
2024-12-10 16:12:47,006 - INFO - Epoch 1, Total Loss: 2092.8781
2024-12-10 16:12:47,151 - INFO - Epoch 1, Total Loss: 2099.3738
2024-12-10 16:12:47,297 - INFO - Epoch 1, Total Loss: 2105.8755
2024-12-10 16:12:47,449 - INFO - Epoch 1, Total Loss: 2112.4031
2024-12-10 16:12:47,605 - INFO - Epoch 1, Total Loss: 2118.8443
2024-12-10 16:12:47,748 - INFO - Epoch 1, Total Loss: 2125.3179
2024-12-10 16:12:47,888 - INFO - Epoch 1, Total Loss: 2131.7847
2024-12-10 16:12:48,045 - INFO - Epoch 1, Total Loss: 2138.2480
2024-12-10 16:12:48,200 - INFO - Epoch 1, Total Loss: 2144.7552
2024-12-10 16:12:48,350 - INFO - Epoch 1, Total Loss: 2151.2446
2024-12-10 16:12:48,495 - INFO - Epoch 1, Total Loss: 2157.7144
2024-12-10 16:12:48,641 - INFO - Epoch 1, Total Loss: 2164.1457
2024-12-10 16:12:48,789 - INFO - Epoch 1, Total Loss: 2170.5726
2024-12-10 16:12:48,945 - INFO - Epoch 1, Total Loss: 2176.9947
2024-12-10 16:12:49,091 - INFO - Epoch 1, Total Loss: 2183.4795
2024-12-10 16:12:49,240 - INFO - Epoch 1, Total Loss: 2189.9341
2024-12-10 16:12:49,392 - INFO - Epoch 1, Total Loss: 2196.3634
2024-12-10 16:12:49,540 - INFO - Epoch 1, Total Loss: 2202.8119
2024-12-10 16:12:49,690 - INFO - Epoch 1, Total Loss: 2209.3047
2024-12-10 16:12:49,841 - INFO - Epoch 1, Total Loss: 2215.7427
2024-12-10 16:12:49,990 - INFO - Epoch 1, Total Loss: 2222.1707
2024-12-10 16:12:50,214 - INFO - Epoch 1, Total Loss: 2228.5859
2024-12-10 16:12:50,367 - INFO - Epoch 1, Total Loss: 2235.0174
2024-12-10 16:12:50,514 - INFO - Epoch 1, Total Loss: 2241.4778
2024-12-10 16:12:50,657 - INFO - Epoch 1, Total Loss: 2247.8956
2024-12-10 16:12:50,819 - INFO - Epoch 1, Total Loss: 2254.3471
2024-12-10 16:12:50,968 - INFO - Epoch 1, Total Loss: 2260.7977
2024-12-10 16:12:51,116 - INFO - Epoch 1, Total Loss: 2267.2017
2024-12-10 16:12:51,269 - INFO - Epoch 1, Total Loss: 2273.5781
2024-12-10 16:12:51,428 - INFO - Epoch 1, Total Loss: 2279.9877
2024-12-10 16:12:51,571 - INFO - Epoch 1, Total Loss: 2286.3915
2024-12-10 16:12:51,729 - INFO - Epoch 1, Total Loss: 2292.8072
2024-12-10 16:12:51,884 - INFO - Epoch 1, Total Loss: 2299.2683
2024-12-10 16:12:52,030 - INFO - Epoch 1, Total Loss: 2305.7284
2024-12-10 16:12:52,182 - INFO - Epoch 1, Total Loss: 2312.1323
2024-12-10 16:12:52,335 - INFO - Epoch 1, Total Loss: 2318.4892
2024-12-10 16:12:52,494 - INFO - Epoch 1, Total Loss: 2324.8689
2024-12-10 16:12:52,645 - INFO - Epoch 1, Total Loss: 2331.2355
2024-12-10 16:12:52,804 - INFO - Epoch 1, Total Loss: 2337.6226
2024-12-10 16:12:52,967 - INFO - Epoch 1, Total Loss: 2344.0223
2024-12-10 16:12:53,129 - INFO - Epoch 1, Total Loss: 2350.3923
2024-12-10 16:12:53,283 - INFO - Epoch 1, Total Loss: 2356.8225
2024-12-10 16:12:53,432 - INFO - Epoch 1, Total Loss: 2363.2268
2024-12-10 16:12:53,769 - INFO - Epoch 1, Total Loss: 2369.6408
2024-12-10 16:12:53,921 - INFO - Epoch 1, Total Loss: 2376.0391
2024-12-10 16:12:54,072 - INFO - Epoch 1, Total Loss: 2382.4085
2024-12-10 16:12:54,228 - INFO - Epoch 1, Total Loss: 2388.7965
2024-12-10 16:12:54,378 - INFO - Epoch 1, Total Loss: 2395.1364
2024-12-10 16:12:54,534 - INFO - Epoch 1, Total Loss: 2401.5691
2024-12-10 16:12:54,691 - INFO - Epoch 1, Total Loss: 2407.9707
2024-12-10 16:12:54,845 - INFO - Epoch 1, Total Loss: 2414.3649
2024-12-10 16:12:54,994 - INFO - Epoch 1, Total Loss: 2420.7399
2024-12-10 16:12:55,154 - INFO - Epoch 1, Total Loss: 2427.1802
2024-12-10 16:12:55,317 - INFO - Epoch 1, Total Loss: 2433.5744
